"","wikidataId","fullName","type","inceptionDate","altNames","terminationDate","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","AllRugbyIDs","GoogleKnowlIDs","articleEn","articleFr","articleIt","articleEs","articleJa","dbpediaId"
"463","Q2946150","Centro Desportivo Universitário do Porto","rugby union team","1964-01-01","CDUP; Centro Desportivo Universitario do Porto",NA,NA,"Portugal",NA,NA,NA,NA,NA,NA,"11dxpg9yr7","Centro_Desportivo_Universit%C3%A1rio_do_Porto","Centro_Desportivo_Universit%C3%A1rio_do_Porto",NA,NA,NA,"http://dbpedia.org/resource/Centro_Desportivo_Universitário_do_Porto"
"465","Q2961176","Charrua Rugby Clube","rugby union club",NA,"Charrua",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Charrua_Rugby_Clube","Charrua_Rugby_Clube",NA,NA,NA,"http://dbpedia.org/resource/Charrua_Rugby_Clube"
"466","Q2972340","Real Ciencias Rugby Club","rugby union team","1972-01-01","Ciencias Sevilla CR; Ciencias Fundación Cajasol; Ciencias Club de Rugby",NA,NA,"Spain",NA,NA,NA,NA,NA,NA,NA,"Ciencias_Sevilla_CR","Real_Ciencias_Rugby_Club",NA,"Real_Ciencias_Rugby_Club",NA,"http://dbpedia.org/resource/Ciencias_Sevilla_CR"
"467","Q2976140","European Rugby Club Rankings","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"European_Rugby_Club_Rankings",NA,NA,NA,NA,NA
"469","Q2979803","Alcobendas Rugby","rugby union team","2003-01-01","Club Deportivo Básico Alcobendas Rugby",NA,NA,"Spain",NA,NA,"Campo de rugby Las Terrazas",NA,"Alcobendas",NA,NA,"Alcobendas_Rugby","Club_Alcobendas_rugby",NA,"Club_Alcobendas_Rugby",NA,"http://dbpedia.org/resource/Alcobendas_Rugby"
"471","Q2980034","Club Africain","rugby union club","1974-01-01",NA,"1988-01-01",NA,"Tunisia",NA,NA,NA,NA,"Tunis",NA,"122r2qbd",NA,"Club_africain_(rugby_%C3%A0_XV)",NA,NA,NA,NA
"472","Q2980066","Club athlétique ribéracois rugby","rugby union team","1909-01-01",NA,NA,NA,"France",NA,NA,NA,NA,"Ribérac",NA,"121vx9k5",NA,"Club_athl%C3%A9tique_rib%C3%A9racois_rugby",NA,NA,NA,NA
"473","Q2980067","CA Saint-Étienne Loire Sud Rugby","rugby union team","1908-01-01","CA Saint-Étienne; Club de rugby de SAINT-ETIENNE, RCSE42","2016-08-01",NA,"France",NA,NA,"Stade Etivallière",NA,"Saint-Étienne",NA,NA,"CA_Saint-%C3%89tienne_Loire_Sud_Rugby","Club_athl%C3%A9tique_de_Saint-%C3%89tienne_Loire_sud_rugby",NA,NA,NA,"http://dbpedia.org/resource/CA_Saint-Étienne_Loire_Sud_Rugby"
"475","Q2980131","CR Liceo Francés","rugby union team","1968-01-01","Liceo Francés; Club de Rugby Liceo Francés",NA,NA,"Spain",NA,NA,NA,NA,"Madrid",NA,NA,"CR_Liceo_Franc%C3%A9s","Club_de_Rugby_Liceo_Franc%C3%A9s",NA,"Club_de_Rugby_Liceo_Franc%C3%A9s",NA,"http://dbpedia.org/resource/CR_Liceo_Francés"
"476","Q2980223","Club Olympique Creusot Bourgogne","rugby union team","1901-01-01","Le Creusot; Club olympique Creusot Bourgogne",NA,"French Rugby Federation","France",NA,NA,NA,NA,"Le Creusot",NA,NA,"Club_Olympique_Creusot_Bourgogne","Club_olympique_Creusot_Bourgogne",NA,NA,NA,"http://dbpedia.org/resource/Club_Olympique_Creusot_Bourgogne"
"477","Q2980227","Club olympique Périgueux-Ouest rugby","rugby union team",NA,NA,NA,NA,"France",NA,NA,NA,NA,"Périgueux",NA,"1yxkhn40x",NA,"Club_olympique_P%C3%A9rigueux-Ouest_(rugby_%C3%A0_XV)",NA,NA,NA,NA
"478","Q2980257","Club sportif Lons Jura","rugby union team","1914-01-01",NA,"2009-01-01",NA,"France",NA,NA,NA,NA,"Lons-le-Saunier",NA,"121b74t1",NA,"Club_sportif_Lons_Jura",NA,NA,NA,NA
"481","Q2980359","C. R. Técnico","rugby union team","1963-01-01","Técnico; Associação de Estudantes do Instituto Superior Técnico",NA,NA,"Portugal",NA,NA,NA,NA,NA,NA,NA,"C._R._T%C3%A9cnico","Clube_de_Rugby_do_T%C3%A9cnico",NA,NA,NA,"http://dbpedia.org/resource/C._R._Técnico"
"484","Q2996894","Coq Mosan","rugby union team","1967-01-01","Rugby Coq Mosan",NA,NA,"Belgium",NA,NA,NA,NA,NA,NA,NA,"Coq_Mosan","Coq_mosan",NA,NA,NA,"http://dbpedia.org/resource/Coq_Mosan"
"487","Q3003159","Crociati Rugby Football Club","defunct rugby union club","2010-01-01",NA,"2014-01-01","Italian Rugby Federation","Italy",NA,NA,NA,NA,NA,NA,"121k2w98",NA,"Crociati_Rugby_Football_Club","Crociati_Rugby_Football_Club","Crociati_Rugby",NA,NA
"489","Q3019420","Tamariba Club","rugby union club",NA,NA,NA,NA,"Japan",NA,NA,NA,NA,NA,NA,NA,"Tamariba_Club",NA,NA,NA,"%E7%A5%9E%E5%A5%88%E5%B7%9D%E3%82%BF%E3%83%9E%E3%83%AA%E3%83%90%E3%82%AF%E3%83%A9%E3%83%96",NA
"491","Q3020248","Rugby Club Walferdange","rugby union team","1990-01-01",NA,NA,NA,"Luxembourg",NA,NA,NA,NA,NA,NA,NA,"Rugby_Club_Walferdange","De_Renert_Walferdange",NA,NA,NA,"http://dbpedia.org/resource/Rugby_Club_Walferdange"
"493","Q3028258","CS Dinamo București","rugby union club","1949-01-01","CS Dinamo București (rugby union); Alb-roșii (The White and Reds); Bulldogi (The Bulldogs); Dinamo București; Clubul Sportiv Dinamo București",NA,NA,"Romania",NA,NA,NA,NA,NA,NA,NA,"CS_Dinamo_Bucure%C8%99ti_(rugby_union)","Dinamo_Bucarest_(rugby_%C3%A0_XV)","Dinamo_Rugby_Bucure%C8%99ti",NA,"CS%E3%83%87%E3%82%A3%E3%83%8A%E3%83%A2%E3%83%BB%E3%83%96%E3%82%AF%E3%83%AC%E3%82%B7%E3%83%A5%E3%83%86%E3%82%A3","http://dbpedia.org/resource/CS_Dinamo_București_(rugby_union)"
"505","Q3055011","Entente de la vallée du Girou XV","rugby union team","1975-06-25",NA,NA,NA,"France",NA,NA,NA,NA,"Pechbonnieu",NA,"1234blw0",NA,"Entente_de_la_vall%C3%A9e_du_Girou_XV",NA,NA,NA,NA
"507","Q3055031","Entente sportive Nanterre","rugby union club",NA,NA,NA,NA,"France",NA,NA,NA,NA,"Nanterre",NA,"11x7vsn18",NA,"Racing_Nanterre_Rugby",NA,NA,NA,NA
"509","Q3063145","FC St. Pauli Rugby","rugby union team","1933-01-01",NA,NA,NA,"Germany","Rugby-Bundesliga",NA,NA,NA,NA,NA,NA,"FC_St._Pauli_Rugby","FC_St._Pauli_Rugby",NA,NA,NA,"http://dbpedia.org/resource/FC_St._Pauli_Rugby"
"510","Q3071726","Fiji Barbarians","rugby union team","2006-01-01",NA,NA,NA,"Fiji",NA,NA,NA,NA,NA,NA,NA,"Fiji_Barbarians","Fiji_Barbarians",NA,NA,NA,NA
"511","Q3071728","Fiji Warriors","second national rugby union teams","2006-01-01",NA,NA,NA,"Fiji",NA,NA,NA,NA,NA,NA,NA,"Fiji_Warriors","Fiji_Warriors",NA,"Fiji_Warriors","%E3%83%95%E3%82%A3%E3%82%B8%E3%83%BC%E3%83%BB%E3%82%A6%E3%82%A9%E3%83%AA%E3%82%A2%E3%83%BC%E3%82%BA","http://dbpedia.org/resource/Fiji_Warriors"
"512","Q3071807","Fili Moscow","rugby union club","1967-01-01","Регбийный клуб «Фили»",NA,NA,"Russia",NA,NA,NA,NA,NA,NA,NA,"Fili_Moscow","Fili_Moscou",NA,NA,NA,"http://dbpedia.org/resource/Fili_Moscow"
"517","Q3076669","Football club moulinois rugby","rugby union club","1906-01-01",NA,NA,NA,"France",NA,NA,NA,NA,"Moulins",NA,"121pkdm1",NA,"Football_club_moulinois_rugby",NA,NA,NA,NA
"519","Q3076673","Football club villefranchois","rugby union team","1906-01-01",NA,NA,NA,"France",NA,NA,NA,NA,"Villefranche-de-Lauragais",NA,"123655w7",NA,"Football_club_villefranchois",NA,NA,NA,NA
"520","Q3086675","Fraser Valley Venom","rugby union team","1972-01-01","Fraser Valley Venom Rugby Football Club",NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Fraser_Valley_Venom","Fraser_Valley_Venom_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Fraser_Valley_Venom"
"525","Q3104686","Getxo Rugby Taldea","rugby union team","1975-01-01","Getxo Artea RT; Getxo Artea; Getxo Errugbia",NA,NA,"Spain",NA,NA,NA,NA,NA,NA,NA,"Getxo_Artea_RT","Getxo_Artea_Rugby_Taldea",NA,"Getxo_Rugby_Taldea","%E3%82%B2%E3%83%81%E3%83%A7%E3%83%BB%E3%82%A2%E3%83%AB%E3%83%86%E3%82%A2RT","http://dbpedia.org/resource/Getxo_Artea_RT"
"529","Q3108546","Glasgow High School Former Pupils","rugby union team","1884-01-01","Glasgow HSFP; Glasgow High School Former Pupils Rugby Football Club",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"120knf4h","Glasgow_HSFP","Glasgow_High_School_Former_Pupils",NA,NA,NA,"http://dbpedia.org/resource/Glasgow_HSFP"
"531","Q3109337","Lomas Athletic Club","rugby union club","1891-01-01","Lomas; Tricolor (Tricoloured)",NA,"Argentine Rugby Union","Argentina","Top 12 de la URBA",NA,NA,NA,"Lomas de Zamora",NA,NA,"Lomas_Athletic_Club","Lomas_Athletic_Club","Lomas_Athletic_Club","Lomas_Athletic_Club","%E3%83%AD%E3%83%BC%E3%83%9E%E3%82%B9AC","http://dbpedia.org/resource/Lomas_Athletic_Club"
"539","Q3118225","GD Direito","rugby union team",NA,"Grupo Desportivo Direito; Direito",NA,NA,"Portugal",NA,NA,NA,NA,"Lisbon",NA,NA,"Grupo_Desportivo_Direito","Grupo_Desportivo_Direito_de_Lisboa",NA,"Grupo_Desportivo_Direito",NA,"http://dbpedia.org/resource/Grupo_Desportivo_Direito"
"543","Q3148701","Illawarriors","rugby union team","2006-01-01",NA,NA,NA,"Australia",NA,NA,NA,NA,NA,NA,NA,"Illawarriors","Illawarriors",NA,NA,NA,"http://dbpedia.org/resource/Illawarriors"
"544","Q3149412","Imperia-Dynamo Penza","rugby union club","2002-01-01",NA,NA,NA,"Russia",NA,NA,NA,NA,NA,NA,NA,"Imperia-Dynamo_Penza","Imperia-Dynamo",NA,NA,NA,"http://dbpedia.org/resource/Imperia-Dynamo_Penza"
"545","Q3174673","UE Santboiana","rugby union club","1921-01-01","Santboiana; Unió Esportiva Santboiana",NA,NA,"Spain","División de Honor de Rugby",NA,"Baldiri Aleu Stadium",NA,NA,NA,NA,"UE_Santboiana","Uni%C3%B3_Esportiva_Santboiana",NA,"Uni%C3%B3_Esportiva_Santboiana","UE%E3%82%B5%E3%83%B3%E3%83%9C%E3%82%A4%E3%82%A2%E3%83%8A","http://dbpedia.org/resource/UE_Santboiana"
"551","Q3218248","Las Vegas Blackjacks RFC","rugby union team","1976-01-01","Las Vegas RFC; Las Vegas Rugby Football Club",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Las_Vegas_Blackjacks_RFC","Las_Vegas_Blackjacks_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Las_Vegas_Blackjacks_RFC"
"559","Q3291603","Dendermonde Rugby Club","rugby union team","1962-01-01","Dendermonde RC",NA,NA,"Belgium",NA,NA,NA,NA,NA,NA,NA,"Dendermonde_Rugby_Club","Dendermondse_Rugby_Club",NA,NA,NA,"http://dbpedia.org/resource/Dendermonde_Rugby_Club"
"561","Q3296656","Cameroon national rugby union team","national rugby union team",NA,NA,NA,NA,"Cameroon",NA,NA,NA,NA,NA,NA,NA,"Cameroon_national_rugby_union_team","%C3%89quipe_du_Cameroun_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Camerun",NA,NA,NA
"562","Q3301148","Kenya national rugby union team","national rugby union team","1955-01-01",NA,NA,NA,"Kenya",NA,NA,"RFUEA Ground","3000",NA,NA,NA,"Kenya_national_rugby_union_team","%C3%89quipe_du_Kenya_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Kenya","Selecci%C3%B3n_de_rugby_de_Kenia","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%B1%E3%83%8B%E3%82%A2%E4%BB%A3%E8%A1%A8",NA
"567","Q3326862","Hernani Club Rugby Elkartea","rugby union team","1965-01-01","Hernani CRE; Hernani",NA,NA,"Spain",NA,NA,NA,NA,NA,NA,NA,"Hernani_CRE",NA,NA,"Hernani_Club_de_Rugby_Elkartea","%E3%82%A8%E3%83%AB%E3%83%8A%E3%83%8BCRE","http://dbpedia.org/resource/Hernani_CRE"
"570","Q3339110","Newfoundland Rock","rugby union team","1984-01-01","Newfoundland Rock Rugby Football Club",NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Newfoundland_Rock","Newfoundland_Rock_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Newfoundland_Rock"
"571","Q3339439","Niagara Lightning","rugby union team","2004-01-01","Niagara Lightning Rugby Football Club",NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Niagara_Lightning","Niagara_Thunder_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Niagara_Lightning"
"572","Q3342196","Niterói Rugby","rugby union club",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"1236ymcp",NA,"Niter%C3%B3i_Rugby","Niter%C3%B3i_Rugby",NA,NA,NA
"575","Q3345530","RC Novokuznetsk","rugby union club","1967-01-01","Metallurg; Metallurg Rugby Club",NA,NA,"Russia",NA,NA,NA,NA,NA,NA,NA,"RC_Novokuznetsk","Novokouznetsk_Rugby",NA,NA,NA,"http://dbpedia.org/resource/RC_Novokuznetsk"
"576","Q3346707","Nyon Rugby Club","rugby union team","1972-01-01",NA,NA,NA,"Switzerland",NA,NA,"Centre sportif de Colovray",NA,NA,NA,NA,"Nyon_Rugby_Club","Nyon_rugby_club",NA,NA,NA,"http://dbpedia.org/resource/Nyon_Rugby_Club"
"578","Q3350201","Old Mission Beach Athletic Club RFC","rugby union club","1966-01-01","Old Mission Beach Athletic Club Rugby Football Club",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"OMBAC_Rugby","Old_Mission_Beach_Athletic_Club_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Old_Mission_Beach_Athletic_Club_RFC"
"581","Q3351695","Olympique de Béja","rugby union club","1929-01-01",NA,NA,NA,"Tunisia",NA,NA,NA,NA,"Béja",NA,"121hx4ch",NA,"Olympique_de_B%C3%A9ja_(rugby_%C3%A0_XV)",NA,NA,NA,NA
"582","Q3351703","Olympique de Marseille","rugby union team","1899-01-01",NA,"1940-01-01",NA,"France",NA,NA,"Stade de l'Huveaune",NA,"Marseille",NA,"121k2ll_",NA,"Olympique_de_Marseille_(rugby_%C3%A0_XV)",NA,NA,NA,NA
"584","Q3358855","Ovalie caennaise","rugby union club","2003-01-01",NA,NA,NA,"France",NA,NA,NA,NA,"Caen",NA,"122jx12g",NA,"Ovalie_caennaise",NA,NA,NA,NA
"594","Q3391693","CAU Rugby Valencia","rugby union team","1973-01-01","CAU Valencia",NA,NA,"Spain",NA,NA,NA,NA,NA,NA,NA,"CAU_Rugby_Valencia",NA,NA,"CAU_Rugby_Valencia",NA,"http://dbpedia.org/resource/CAU_Rugby_Valencia"
"595","Q3391709","CR Cisneros","rugby union team","1943-01-01","Complutense Cisneros; Club de Rugby Cisneros",NA,NA,"Spain","División de Honor de Rugby",NA,"Estadio Nacional Complutense",NA,NA,NA,NA,"CR_Cisneros","Club_de_Rugby_Complutense_Cisneros",NA,"Club_de_Rugby_Cisneros",NA,"http://dbpedia.org/resource/CR_Cisneros"
"597","Q3393984","Eibar RT","rugby union team","1977-01-01","Eibar Hierros Anetxe; Eibar Rugby Taldea",NA,NA,"Spain",NA,NA,NA,NA,NA,NA,NA,"Eibar_RT",NA,NA,"Eibar_Rugby_Taldea",NA,"http://dbpedia.org/resource/Eibar_RT"
"600","Q3398348","Port Hacking Rugby Football Club","rugby union club","1957-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113qbvwh1",NA,"Port_Hacking_Rugby_Football_Club",NA,NA,NA,NA
"601","Q3415102","SCM USV Timișoara","rugby union club","1949-10-01","SCM Rugby Timișoara; Bănățeni (People of Banat); Leii (The Lions); Timișoreni (People of Timișoara); Sport Club Municipal Rugby Timișoara",NA,NA,"Romania","Liga Naţională de Rugby",NA,"Stadionul Dan Păltinișanu","32972",NA,NA,NA,"SCM_USV_Timi%C8%99oara","SCM_Rugby_Timi%C8%99oara","Rugby_Club_Municipal_Timi%C8%99oara",NA,"SCM%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%BB%E3%83%86%E3%82%A3%E3%83%9F%E3%82%B7%E3%83%A7%E3%82%A2%E3%83%A9","http://dbpedia.org/resource/SCM_Rugby_Timișoara"
"602","Q3415111","RC Aachen","rugby union team","1980-01-01","Rugby Club Aachen e. V.",NA,NA,"Germany","Rugby-Bundesliga",NA,NA,NA,"Aachen",NA,NA,"RC_Aachen","Rugby_Club_Aachen",NA,NA,NA,"http://dbpedia.org/resource/RC_Aachen"
"603","Q3415113","RC Kuban","rugby union club","1996-01-01","RC Kuban Krasnodar",NA,NA,"Russia",NA,NA,NA,NA,NA,NA,"155q5b_q","RC_Kuban","RC_Kuban_Krasnodar",NA,NA,NA,"http://dbpedia.org/resource/RC_Kuban"
"604","Q3415114","RC Frameries","rugby union team","1966-01-01","Rugby Club Frameries",NA,NA,"Belgium",NA,NA,NA,NA,NA,NA,NA,"RC_Frameries","Rugby_Club_Frameries",NA,NA,NA,"http://dbpedia.org/resource/RC_Frameries"
"606","Q3415118","RC Soignies","rugby union team","1973-01-01","Rugby Club Soignes",NA,NA,"Belgium",NA,NA,NA,NA,NA,NA,NA,"RC_Soignies","Rugby_club_Soignies",NA,NA,NA,"http://dbpedia.org/resource/RC_Soignies"
"607","Q3415234","RK Heusenstamm","rugby union team","1979-01-01","Rugby-Klub Heusenstamm e.V.",NA,NA,"Germany","Rugby-Bundesliga",NA,NA,NA,NA,NA,"11cmffvf9b","RK_Heusenstamm","RK_Heusenstamm",NA,NA,NA,"http://dbpedia.org/resource/RK_Heusenstamm"
"608","Q3416284","Racing Jet Bruxelles","rugby union team","1935-01-01",NA,NA,NA,"Belgium",NA,NA,NA,NA,NA,NA,"155sww0l",NA,"Racing_Jet_Bruxelles",NA,NA,NA,NA
"609","Q3416290","Racing universitaire de Casablanca","rugby union team","1929-01-01",NA,NA,NA,"Morocco",NA,NA,NA,NA,"Casablanca",NA,"1hhzgq_cl",NA,"Racing_universitaire_Casablanca",NA,NA,NA,NA
"610","Q3416293","Racing Club Vichy Rugby","rugby union team","1905-01-01",NA,NA,NA,"France",NA,NA,NA,NA,"Vichy",NA,NA,"RC_Vichy_(rugby_union)","Racing_Club_Vichy_rugby",NA,NA,NA,NA
"612","Q3416304","Rugby Club de l'agglomération de Cergy-Pontoise","rugby union team","2003-06-01",NA,"2011-07-26",NA,"France",NA,NA,NA,NA,"Pontoise",NA,"121259c4",NA,"Rugby_Club_de_l%27agglom%C3%A9ration_de_Cergy-Pontoise",NA,NA,NA,NA
"615","Q3435957","RC Dragon Brno","rugby union team","1946-01-01","Rugby Club Dragon Brno",NA,NA,"Czechia",NA,NA,NA,NA,NA,NA,NA,"RC_Dragon_Brno",NA,"Rugby_Club_Dragon_Brno",NA,NA,"http://dbpedia.org/resource/RC_Dragon_Brno"
"618","Q3452821","Rugby Club Ettahrir","rugby union club","1995-01-01",NA,NA,NA,"Tunisia",NA,NA,NA,NA,"Tunis",NA,"121bdc4z",NA,"Rugby_Club_Ettahrir",NA,NA,NA,NA
"619","Q3452823","Rugby Club Béja","rugby union club","1969-01-01",NA,NA,NA,"Tunisia",NA,NA,NA,NA,"Béja",NA,"12302hps",NA,"Rugby_Club_B%C3%A9ja",NA,NA,NA,NA
"620","Q3452824","Rugby Club Visé","rugby union team","1970-01-01",NA,NA,NA,"Belgium",NA,NA,NA,NA,NA,NA,"121n9rk2",NA,"Royal_Rugby_Club_Vis%C3%A9",NA,NA,NA,NA
"621","Q3452825","Rugby Club Stade Phocéen","rugby union team","2000-01-01","Marseille Vitrolles; Marseille Vitrolles Rugby",NA,NA,"France",NA,NA,NA,NA,NA,NA,NA,"Rugby_Club_Stade_Phoc%C3%A9en","Stade_phoc%C3%A9en_Marseille_Vitrolles",NA,NA,NA,"http://dbpedia.org/resource/Rugby_Club_Stade_Phocéen"
"622","Q3452828","Rugby Club Luxembourg","rugby union team","1973-01-01",NA,NA,NA,"Luxembourg",NA,NA,NA,NA,NA,NA,NA,"Rugby_Club_Luxembourg","Rugby_Club_Luxembourg",NA,NA,NA,"http://dbpedia.org/resource/Rugby_Club_Luxembourg"
"623","Q3452829","Rugby Club de Zéramdine","rugby union club",NA,NA,NA,NA,"Tunisia",NA,NA,NA,NA,"Zéramdine",NA,"1hc0qsqy9",NA,"Rugby_Club_de_Z%C3%A9ramdine",NA,NA,NA,NA
"635","Q3452856","Rugby Club auxerrois","rugby union club","1970-01-01",NA,NA,NA,"France",NA,NA,NA,NA,"Auxerre",NA,"1218cys7",NA,NA,NA,"Rugby_Club_Auxerrois",NA,NA
"637","Q3452861","Rugby Club Metz Moselle","rugby union team","1961-01-01",NA,NA,NA,"France",NA,NA,NA,NA,"Metz",NA,"120x5z9k",NA,"Rugby_Club_Metz_Moselle",NA,NA,NA,NA
"638","Q3452862","Rugby Club dijonnais","rugby union team","1934-01-01",NA,NA,NA,"France",NA,NA,NA,NA,"Dijon",NA,"121c9zh1",NA,NA,NA,NA,NA,NA
"645","Q3460270","SV 08 Ricklingen","rugby union team","1908-01-01","Sportverein 1908 Ricklingen e.V.",NA,NA,"Germany","2. Rugby-Bundesliga",NA,NA,NA,"Hanover",NA,"11c2y2_rqp","SV_08_Ricklingen","SV_08_Ricklingen",NA,NA,NA,"http://dbpedia.org/resource/SV_08_Ricklingen"
"650","Q3469726","Salford Red Devils","rugby union team","1873-01-01",NA,NA,NA,"United Kingdom",NA,NA,"Salford City Stadium; The Willows, Salford; New Barnes",NA,NA,NA,NA,"Salford_Red_Devils","Salford_Red_Devils_Rugby_League_Club",NA,"Salford_Red_Devils","%E3%82%B5%E3%83%AB%E3%83%95%E3%82%A9%E3%83%BC%E3%83%89%E3%83%BB%E3%83%AC%E3%83%83%E3%83%89%E3%83%87%E3%83%93%E3%83%AB%E3%82%BA",NA
"651","Q3471435","San Francisco Golden Gate RFC","rugby union team","2001-01-01","SFGG Rugby; San Francisco Golden Gate Rugby Football Club",NA,NA,"U.S.A.",NA,NA,NA,NA,"San Francisco",NA,NA,"San_Francisco_Golden_Gate_RFC","San_Francisco_Golden_Gate_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/San_Francisco_Golden_Gate_RFC"
"652","Q3471485","San Gregorio Catania Rugby","rugby union team","1990-01-01","A.S.D. San Gregorio Catania Rugby","2013-01-01","Italian Rugby Federation","Italy",NA,NA,NA,NA,NA,NA,NA,"San_Gregorio_Catania_Rugby","San_Gregorio_Catania_Rugby","San_Gregorio_Catania_Rugby",NA,NA,"http://dbpedia.org/resource/San_Gregorio_Catania_Rugby"
"653","Q3472221","Sangmu","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"654","Q3473792","Saskatchewan Prairie Fire","rugby union team",NA,"Prairie Fire Rugby Football Club",NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Saskatchewan_Prairie_Fire","Prairie_Fire_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Saskatchewan_Prairie_Fire"
"655","Q3486559","Slava Moscow","rugby union club","1974-01-01","Slava Rugby Club",NA,NA,"Russia",NA,NA,NA,NA,NA,NA,NA,"Slava_Moscow","Slava_Moscou",NA,NA,NA,"http://dbpedia.org/resource/Slava_Moscow"
"659","Q3492730","Spartak GM Moscow","rugby union club","1936-01-01","Spartak Moscow",NA,NA,"Russia",NA,NA,NA,NA,NA,NA,NA,"Spartak_GM_Moscow","Spartak_GM",NA,NA,NA,"http://dbpedia.org/resource/Spartak_GM_Moscow"
"661","Q3493863","SA Saint-Sever","rugby union team","1905-01-01",NA,NA,NA,"France",NA,NA,NA,NA,"Saint-Sever",NA,"121v782g",NA,"Sport_athl%C3%A9tique_saint-s%C3%A9verin_rugby",NA,NA,NA,NA
"665","Q3494126","Sporting club tulliste","rugby union team","1904-01-01",NA,NA,NA,"France",NA,NA,"Stade Alexandre-Cueille",NA,"Tulle",NA,"12dpwf79w",NA,"Sporting_Club_Tulle_Corr%C3%A8ze",NA,NA,NA,NA
"668","Q3495283","St. Louis Bombers Rugby Football Club","rugby union team","1962-01-01","St. Louis Bombers RFC",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"St._Louis_Bombers_Rugby_Football_Club","St._Louis_Bombers_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/St._Louis_Bombers_Rugby_Football_Club"
"669","Q3495318","St George","rugby union team","1906-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113qbqkq2",NA,"St_George_rugby",NA,NA,NA,NA
"670","Q3495842","Stade Rodez Aveyron","rugby union team","1902-01-01",NA,"2019-01-01",NA,"France",NA,NA,"Stade Paul-Lignon",NA,"Rodez",NA,NA,"Stade_Rodez_Aveyron","Stade_Rodez_Aveyron",NA,NA,NA,"http://dbpedia.org/resource/Stade_Rodez_Aveyron"
"679","Q3496190","Stade Nabeulien","rugby union club","1936-01-01",NA,NA,NA,"Tunisia",NA,NA,NA,NA,"Nabeul",NA,"1213_8vr",NA,"Stade_nabeulien_(rugby_%C3%A0_XV)",NA,NA,NA,NA
"685","Q3496236","Stade rennais rugby","rugby union team",NA,NA,NA,NA,"France",NA,NA,NA,NA,"Rennes",NA,"121qmlvq",NA,"Stade_rennais_rugby",NA,NA,NA,NA
"689","Q3499631","RC Sparta Prague","rugby union team","1928-08-28","Rugby Club Sparta Prague; Rugby Club Sparta Praha",NA,NA,"Czechia",NA,NA,NA,NA,NA,NA,NA,"RC_Sparta_Prague",NA,"RC_Sparta_Praha",NA,NA,"http://dbpedia.org/resource/RC_Sparta_Prague"
"690","Q3502793","Praga Rugby","rugby union club","1944-01-01","Rugby Club Praga Praha",NA,NA,"Czechia","KB Extraliga",NA,NA,NA,NA,NA,NA,"Praga_Rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/Praga_Rugby"
"692","Q3503982","Sunshine Coast Stingrays","rugby union team","2005-01-01",NA,NA,NA,"Australia",NA,NA,NA,NA,NA,NA,NA,"Sunshine_Coast_Stingrays","Sunshine_Coast_Stingrays",NA,NA,NA,"http://dbpedia.org/resource/Sunshine_Coast_Stingrays"
"696","Q3506788","RC Říčany","rugby union team","1944-01-01","Rugby Club Říčany",NA,NA,"Czechia",NA,NA,NA,NA,NA,NA,NA,"RC_%C5%98%C3%AD%C4%8Dany",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Říčany"
